POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
SP,15,Brad Byers,,Toronto,ABL,MLB,02/04/1999,25,USA,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,3,Billy Calabro,,Mississauga,ABL,MLB,05/28/2002,21,USA,6' 4',205 lbs,Right,Right,2.5 Stars,4.0 Stars,Very Low
SP,3,Tony Caldwell,,Puebla,ABL,MLB,10/15/2002,21,USA,6' 0',190 lbs,Right,Right,2.5 Stars,3.5 Stars,Average
SP,22,Brian Callahan,,Austin,ABL,MLB,02/05/1995,29,USA,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,44,Jerry Cantu,,Jacksonville,ABL,MLB,04/05/1997,27,MEX,5' 10',185 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,28,Mat Carter,,Austin,ABL,MLB,04/09/2001,23,USA,6' 3',205 lbs,Right,Right,2.0 Stars,2.0 Stars,Low
SP,17,Mickey Chapman,,Colorado,ABL,MLB,09/21/2000,23,USA,6' 0',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,50,Danny Chappelle,,Windsor,ABL,MLB,09/13/1999,24,USA,6' 4',220 lbs,Right,Right,2.5 Stars,2.5 Stars,High
SP,11,Angelo Chaviano,,Acapulco,ABL,MLB,10/03/2001,22,MEX,6' 0',195 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,2,Jeff Codispoti,,Austin,ABL,MLB,07/27/1997,26,USA,6' 0',200 lbs,Right,Right,2.0 Stars,2.5 Stars,Average
SP,25,Angel Contreras,,Nezahualcoyotl,ABL,MLB,12/28/1999,24,MEX,6' 2',205 lbs,Right,Right,4.0 Stars,4.5 Stars,Very Low
SP,4,Wayne Cooper,,Windsor,ABL,MLB,02/14/2000,24,USA,6' 1',200 lbs,Left,Left,2.5 Stars,2.5 Stars,High
SP,5,Cody Crawford,,Fort Worth,ABL,MLB,09/03/1999,24,USA,6' 2',210 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,4,Frank Crout,,Victoria,ABL,MLB,04/28/1991,32,USA,5' 10',195 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,5,Manny Cruz,,Jacksonville,ABL,MLB,12/28/1999,24,MEX,6' 4',220 lbs,Right,Right,3.5 Stars,4.0 Stars,Average
SP,16,Ivan Cuautle,,Toronto,ABL,MLB,04/25/1999,24,MEX,6' 0',200 lbs,Right,Right,2.5 Stars,3.5 Stars,Average
SP,5,John Cunningham,,New York,ABL,MLB,04/24/1995,28,USA,6' 0',200 lbs,Switch,Left,3.5 Stars,3.5 Stars,Low
SP,18,Raleigh Currie,,Toronto,ABL,MLB,11/17/1999,24,USA,6' 1',205 lbs,Left,Right,2.0 Stars,2.0 Stars,Very Low
SP,13,Norman Dacus,,Vancouver,ABL,MLB,05/27/1993,30,USA,6' 6',235 lbs,Right,Right,4.5 Stars,4.5 Stars,Very Low
SP,21,Bobby Dane,,Fort Worth,ABL,MLB,03/03/1997,27,USA,5' 9',180 lbs,Switch,Right,2.5 Stars,2.5 Stars,Average
SP,12,Willis Diaz,,Atlanta,ABL,MLB,09/05/2002,21,MEX,6' 2',200 lbs,Left,Left,2.5 Stars,3.0 Stars,Very Low
SP,10,Chris Dunn,,San Antonio,ABL,MLB,07/31/1994,29,USA,6' 3',215 lbs,Right,Right,4.0 Stars,4.0 Stars,Low
SP,31,Travis Earles,,Fort Worth,ABL,MLB,12/30/1999,24,USA,6' 2',205 lbs,Right,Right,2.5 Stars,3.0 Stars,Average
SP,25,Adrian Edwards,,Montreal,ABL,MLB,12/15/1996,27,USA,6' 0',200 lbs,Right,Right,3.0 Stars,3.5 Stars,Very Low
SP,26,Oscar Escabar,,Naucalpan,ABL,MLB,06/11/2006,17,USA,6' 2',185 lbs,Right,Right,0.5 Stars,2.5 Stars,Low
SP,19,Dan Espinoza,,Fort Worth,ABL,MLB,11/17/2000,23,USA,6' 6',235 lbs,Right,Right,3.0 Stars,3.0 Stars,Average
SP,8,Jerry Espinoza,,New York,ABL,MLB,09/17/1998,25,MEX,6' 2',210 lbs,Left,Left,2.5 Stars,3.0 Stars,Very Low
SP,3,Antonio Esquivel,,Victoria,ABL,MLB,12/28/1997,26,MEX,6' 1',205 lbs,Left,Left,4.0 Stars,4.0 Stars,Very Low
SP,7,Luis Esquivel,,Jacksonville,ABL,MLB,03/26/2000,24,MEX,6' 2',210 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,55,Aiden Fairfax,,Toronto,ABL,MLB,11/18/1995,28,USA,6' 1',205 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
SP,17,Danny Fernandez,,Puebla,ABL,MLB,04/09/1988,36,MEX,6' 4',225 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,19,Ryan Findley,,Montreal,ABL,MLB,06/06/1998,25,USA,5' 10',185 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,15,Josh Fleischman,,Mérida,ABL,MLB,06/06/1997,26,USA,6' 6',235 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,12,Shawn Florez,,Mexico City,ABL,MLB,07/13/1999,24,USA,6' 6',220 lbs,Switch,Right,2.5 Stars,2.5 Stars,Very Low
SP,17,Jon Flowers,,Guadalajara,ABL,MLB,03/23/1999,25,USA,6' 1',200 lbs,Switch,Left,2.5 Stars,2.5 Stars,Very Low
SP,27,Daniel Galindo,,Naucalpan,ABL,MLB,04/16/1998,25,USA,6' 7',235 lbs,Left,Left,2.0 Stars,2.0 Stars,Average
SP,3,Oscar Garcia,,San Luis Potosí,ABL,MLB,12/14/1999,24,MEX,5' 11',195 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,17,Eric Gatewood,,San Antonio,ABL,MLB,10/14/1997,26,USA,6' 6',225 lbs,Left,Right,2.5 Stars,2.5 Stars,Very Low
SP,17,John Gifford,,Quebec City,ABL,MLB,08/01/1997,26,USA,6' 3',215 lbs,Right,Right,4.0 Stars,4.0 Stars,Very Low
SP,15,Nick Gilmore,,Quebec City,ABL,MLB,07/04/1999,24,USA,5' 10',190 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,8,Craig Gladden,,Tlalnepantla,ABL,MLB,02/18/1999,25,USA,6' 4',215 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,31,Sean Goforth,,Tlalnepantla,ABL,MLB,04/05/2000,24,USA,6' 4',215 lbs,Left,Right,2.5 Stars,2.5 Stars,Average
SP,51,Jules Golden,,Quebec City,ABL,MLB,07/15/2000,23,USA,6' 3',215 lbs,Left,Right,3.5 Stars,4.0 Stars,Low
SP,24,Manuel Gonzales,,Mexico City,ABL,MLB,03/07/1988,36,MEX,6' 5',230 lbs,Left,Right,2.5 Stars,2.5 Stars,Average
SP,36,Tony Gonzalez,,Mexico City,ABL,MLB,06/25/1995,28,MEX,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,20,Mike Gordon,,Atlanta,ABL,MLB,09/07/1995,28,USA,6' 0',195 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,25,Chris Grady,,Atlanta,ABL,MLB,09/08/2000,23,USA,6' 2',215 lbs,Right,Right,3.5 Stars,4.0 Stars,Very Low
SP,5,Mike Gross,,Tlalnepantla,ABL,MLB,09/01/1993,30,USA,5' 11',190 lbs,Switch,Right,2.5 Stars,2.5 Stars,Very Low
SP,20,Luis Guerra,,Phoenix,ABL,MLB,08/25/2000,23,MEX,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,35,Tyler Hagge,,New York,ABL,MLB,06/15/2001,22,USA,6' 7',240 lbs,Switch,Right,3.0 Stars,3.5 Stars,Average
SP,22,Tom Hardy,,St. Johns,ABL,MLB,12/29/1994,29,USA,6' 2',205 lbs,Left,Left,3.5 Stars,4.0 Stars,Very Low
SP,28,Chris Harnish,,Guadalajara,ABL,MLB,08/29/2000,23,USA,6' 2',205 lbs,Left,Left,2.5 Stars,2.5 Stars,Low
SP,11,Dave Hayward,,Mexico City,ABL,MLB,12/03/1998,25,CAN,6' 1',205 lbs,Right,Right,2.5 Stars,3.0 Stars,Low
SP,7,Jamie Hedden,,Toronto,ABL,MLB,11/29/1995,28,USA,6' 8',250 lbs,Left,Left,3.5 Stars,3.5 Stars,Very Low
SP,17,Alex Hernandez,,Mississauga,ABL,MLB,09/02/1998,25,MEX,6' 0',200 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,23,Danny Hernandez,,Windsor,ABL,MLB,10/09/1999,24,MEX,6' 0',190 lbs,Right,Right,3.0 Stars,3.0 Stars,Low
SP,42,Francisco Hernandez,,Jacksonville,ABL,MLB,10/31/1997,26,MEX,6' 0',195 lbs,Right,Right,2.0 Stars,2.5 Stars,Very Low
SP,24,Ozzie Hernandez,,Phoenix,ABL,MLB,11/28/1994,29,MEX,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,16,Antonio Jaimes,,Mérida,ABL,MLB,09/18/1995,28,USA,6' 1',200 lbs,Right,Right,3.0 Stars,3.0 Stars,Very Low
SP,7,Wayne Jardine,,Naucalpan,ABL,MLB,01/21/1997,27,CAN,6' 5',230 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
SP,23,Jason Jobes,,León,ABL,MLB,12/16/1997,26,USA,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,29,Dustin Kacher,,San Luis Potosí,ABL,MLB,10/10/1990,33,USA,6' 2',220 lbs,Left,Left,3.0 Stars,3.0 Stars,Very Low
SP,7,Joe Kallio,,St. Johns,ABL,MLB,08/20/1998,25,USA,6' 5',225 lbs,Right,Right,2.5 Stars,3.0 Stars,Very Low
SP,24,Mike Knapp,,Colorado,ABL,MLB,12/05/1997,26,USA,6' 4',220 lbs,Right,Right,4.0 Stars,4.0 Stars,Very Low
SP,9,Mario Lahera,,Colorado,ABL,MLB,05/16/1994,29,USA,6' 6',235 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,19,Pete Lamkin,,-,-,-,03/02/1995,29,USA,6' 0',200 lbs,Right,Right,1.5 Stars,1.5 Stars,Average
SP,13,Rick LeGrand,,Mérida,ABL,MLB,02/10/1994,30,USA,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,19,Adrian Lewis,,St. Johns,ABL,MLB,08/24/1995,28,USA,6' 1',205 lbs,Right,Right,5.0 Stars,5.0 Stars,Very Low
SP,30,Greg Lister,,Calgary,ABL,MLB,10/29/2003,20,CAN,6' 2',190 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,9,Angelo Lomeli,,Mérida,ABL,MLB,07/21/2001,22,MEX,6' 1',200 lbs,Switch,Right,2.5 Stars,3.0 Stars,Average
SP,1,Antonio Lopez,,San Antonio,ABL,MLB,03/21/1993,31,MEX,6' 0',205 lbs,Right,Right,4.0 Stars,4.0 Stars,Low
SP,11,Jeremy Luedecke,,Ottawa,ABL,MLB,11/08/1999,24,USA,6' 1',205 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
SP,4,Miguel Lugo,,Toronto,ABL,MLB,03/20/1995,29,USA,6' 1',200 lbs,Right,Right,2.0 Stars,2.5 Stars,Very Low
SP,45,Doug Lungren,,Windsor,ABL,MLB,10/03/1997,26,USA,6' 0',200 lbs,Right,Right,3.5 Stars,4.0 Stars,Low
SP,3,Bob Lunski,,Montreal,ABL,MLB,07/01/1996,27,USA,6' 6',225 lbs,Right,Right,2.0 Stars,2.0 Stars,Average
SP,39,David Mangum,,Mississauga,ABL,MLB,04/01/1999,25,USA,5' 10',190 lbs,Right,Right,2.0 Stars,2.5 Stars,Very Low
SP,24,Ernesto Martinez,,Ottawa,ABL,MLB,10/24/1996,27,MEX,5' 10',195 lbs,Right,Right,4.0 Stars,4.0 Stars,Very Low
SP,32,Fernando Martinez,,Texas,ABL,MLB,01/08/2001,23,MEX,6' 7',230 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,1,Devin Mason,,Nezahualcoyotl,ABL,MLB,09/02/1997,26,USA,6' 4',215 lbs,Left,Right,2.5 Stars,2.5 Stars,Average
SP,13,Josh Mason,,Puebla,ABL,MLB,01/18/1995,29,USA,6' 7',240 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,4,Dave Matson,,Naucalpan,ABL,MLB,05/28/2000,23,CAN,6' 3',215 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,16,Randy McKim,,Colorado,ABL,MLB,04/16/1997,26,USA,6' 8',240 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,23,Jesus Mercado,,San Luis Potosí,ABL,MLB,11/21/2000,23,MEX,6' 2',210 lbs,Right,Left,2.5 Stars,2.5 Stars,Average
SP,26,Isiah Mitchell,,Victoria,ABL,MLB,06/28/2006,17,USA,6' 4',195 lbs,Left,Left,0.5 Stars,2.0 Stars,Low
SP,4,Joel Moe,,Chicago,ABL,MLB,08/07/1999,24,USA,6' 2',210 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,11,Mike Mullane,,Vancouver,ABL,MLB,10/25/1995,28,USA,6' 4',220 lbs,Right,Right,3.5 Stars,3.5 Stars,Very Low
SP,13,Jamison Musil,,Ottawa,ABL,MLB,08/13/1998,25,USA,6' 2',215 lbs,Right,Right,2.0 Stars,2.5 Stars,Average
SP,20,Mike Norder,,León,ABL,MLB,01/24/2000,24,USA,5' 10',185 lbs,Right,Right,3.5 Stars,4.0 Stars,Very Low
SP,12,Chris Nuno,,Texas,ABL,MLB,11/25/1997,26,USA,6' 0',205 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,27,Jose Ortega,,Guadalajara,ABL,MLB,01/31/1998,26,MEX,5' 11',195 lbs,Right,Right,3.5 Stars,3.5 Stars,Very Low
SP,15,Mark Palmer,,León,ABL,MLB,11/14/1997,26,USA,6' 3',215 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,2,Jose Parada,,Victoria,ABL,MLB,10/17/1994,29,MEX,6' 3',215 lbs,Right,Right,3.0 Stars,3.0 Stars,Average
SP,18,Hyeon-cheol Park,,Ottawa,ABL,MLB,11/03/1999,24,PRK,6' 2',210 lbs,Right,Right,4.0 Stars,4.0 Stars,Average
SP,12,Chris Patenaude,,San Antonio,ABL,MLB,10/04/1999,24,CAN,6' 2',210 lbs,Left,Left,2.0 Stars,2.0 Stars,Very Low
SP,24,Cory Pavlik,,Naucalpan,ABL,MLB,11/27/1995,28,USA,5' 10',190 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,7,Aubrey Pendleton,,Colorado,ABL,MLB,08/04/1996,27,USA,6' 2',205 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
SP,56,Dave Perez,,Creignish,AAAA,AAA,08/09/1999,24,MEX,6' 2',210 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
SP,26,Dave Pilarczyk,,Atlanta,ABL,MLB,06/01/1995,28,USA,6' 9',255 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
SP,8,Rogelio Poncio,,St. Johns,ABL,MLB,10/06/1997,26,USA,6' 6',230 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,35,Chris Pristash,,Quebec City,ABL,MLB,11/30/2002,21,USA,6' 2',195 lbs,Right,Right,2.5 Stars,4.5 Stars,Very Low
SP,25,Ommar Qaraja,,Toronto,ABL,MLB,09/20/1998,25,USA,5' 11',190 lbs,Left,Right,2.0 Stars,2.0 Stars,Very Low
SP,15,Raul Quintero,,Nezahualcoyotl,ABL,MLB,01/20/1995,29,MEX,5' 11',195 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
SP,24,Javy Ramirez,,Texas,ABL,MLB,01/23/2001,23,USA,6' 0',190 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,22,Talbot Render,,Tlalnepantla,ABL,MLB,04/21/1994,29,CAN,5' 10',185 lbs,Right,Right,3.0 Stars,3.0 Stars,Average
SP,5,Matt Riley,,Acapulco,ABL,MLB,02/16/2000,24,USA,6' 4',215 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
SP,24,Seth Ritchie,,San Luis Potosí,ABL,MLB,04/02/2000,24,USA,6' 4',210 lbs,Right,Right,2.5 Stars,3.0 Stars,Average
SP,13,Emilio Rivera,,Mississauga,ABL,MLB,01/20/1995,29,MEX,6' 6',230 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
SP,2,Tony Rivera,,Atlanta,ABL,MLB,08/12/1996,27,MEX,6' 3',220 lbs,Switch,Right,3.0 Stars,3.0 Stars,Very Low
SP,32,Bill Rodriguez,,St. Johns,ABL,MLB,02/15/1998,26,MEX,6' 2',240 lbs,Right,Right,4.0 Stars,4.0 Stars,Very Low
SP,20,William Rodriguez,,Victoria,ABL,MLB,11/11/1999,24,USA,6' 0',200 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,23,Eric Rubin,,Calgary,ABL,MLB,02/03/2000,24,USA,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,14,Peter Rushworth,,León,ABL,MLB,04/27/1998,25,USA,5' 10',185 lbs,Right,Right,3.5 Stars,3.5 Stars,Very Low
SP,22,Ryan Russell,,Mississauga,ABL,MLB,04/12/2000,24,USA,6' 0',200 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,10,Brian Rutledge,,Fort Worth,ABL,MLB,03/18/1985,39,USA,6' 6',240 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,13,Ricardo Sanchez,,Acapulco,ABL,MLB,04/26/1998,25,MEX,6' 3',215 lbs,Switch,Right,2.5 Stars,3.0 Stars,Very Low
SP,15,Travis Schriber,,New York,ABL,MLB,09/14/1996,27,USA,6' 1',210 lbs,Right,Right,4.0 Stars,4.0 Stars,Very Low
SP,6,Aaron Scott,,Austin,ABL,MLB,05/11/1994,29,USA,6' 2',210 lbs,Right,Right,3.0 Stars,3.0 Stars,Very Low
SP,17,Brad Scott,,Ottawa,ABL,MLB,07/14/1997,26,USA,6' 6',230 lbs,Switch,Right,2.5 Stars,2.5 Stars,Very Low
SP,7,Hector Segovia,,Montreal,ABL,MLB,06/17/2001,22,USA,6' 4',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,47,Kris Shuler,,Mérida,ABL,MLB,03/12/2006,18,USA,6' 8',210 lbs,Left,Right,0.5 Stars,4.0 Stars,Low
SP,8,Vic Slear,,Jacksonville,ABL,MLB,09/24/1996,27,USA,6' 3',215 lbs,Left,Left,3.0 Stars,3.0 Stars,Average
SP,28,Joe Smith,,Naucalpan,ABL,MLB,02/23/1998,26,USA,6' 0',200 lbs,Right,Right,3.5 Stars,4.0 Stars,Very Low
SP,7,Jonathan Smith,,Austin,ABL,MLB,02/17/2001,23,USA,6' 3',205 lbs,Right,Right,2.0 Stars,2.5 Stars,Very Low
SP,24,Chris Snyder,,Victoria,ABL,MLB,04/28/1998,25,USA,6' 2',215 lbs,Right,Right,4.5 Stars,4.5 Stars,Very Low
SP,18,Tony Soto,,Puebla,ABL,MLB,10/19/1994,29,USA,6' 0',200 lbs,Right,Right,4.0 Stars,4.0 Stars,Average
SP,17,Craig Souders,,Montreal,ABL,MLB,06/19/2000,23,USA,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,10,Anrrique Spinelli,,León,ABL,MLB,12/28/2000,23,USA,6' 2',205 lbs,Left,Right,3.0 Stars,3.5 Stars,Average
SP,1,Jamie Stanley,,Chesterville,AAAA,AAA,03/14/1999,25,USA,6' 4',215 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,6,Dave Stanton,,Tlalnepantla,ABL,MLB,09/12/2000,23,USA,5' 11',195 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,23,Bubba Stowe,,Guadalajara,ABL,MLB,11/23/2000,23,USA,6' 2',205 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
SP,6,Ross Suiter,,Jacksonville,ABL,MLB,12/11/1998,25,USA,6' 2',215 lbs,Switch,Right,4.5 Stars,5.0 Stars,Very Low
SP,8,Danny Szurgot,,Acapulco,ABL,MLB,07/08/2000,23,USA,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,8,Jerry Tart,,San Luis Potosí,ABL,MLB,10/14/2000,23,USA,5' 10',185 lbs,Left,Left,3.5 Stars,5.0 Stars,Very Low
SP,30,Tyrell Thomas,,Windsor,ABL,MLB,01/01/1991,33,USA,6' 1',205 lbs,Left,Right,2.5 Stars,2.5 Stars,Very High
SP,3,Elijah Travers,,Naucalpan,ABL,MLB,05/07/2000,23,USA,6' 4',220 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,4,Connor Tremblett,,Vancouver,ABL,MLB,04/01/2000,24,CAN,6' 0',195 lbs,Right,Right,3.0 Stars,3.5 Stars,Very Low
SP,15,Don Trottier,,Chicago,ABL,MLB,02/15/2000,24,CAN,5' 9',175 lbs,Right,Left,2.5 Stars,2.5 Stars,Very Low
SP,25,Alex Vallejo,,Austin,ABL,MLB,08/20/2000,23,USA,6' 0',200 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,7,Alex Velasquez,,Nezahualcoyotl,ABL,MLB,09/26/1992,31,MEX,6' 6',230 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,1,Jessie Velasquez,,Quebec City,ABL,MLB,06/13/1998,25,USA,6' 2',205 lbs,Right,Right,1.5 Stars,1.5 Stars,Very Low
SP,33,Kymani Vereen,,Quebec City,ABL,MLB,06/04/1997,26,USA,6' 6',230 lbs,Switch,Left,2.5 Stars,2.5 Stars,Very Low
SP,9,Ricardo Villanueva,,Phoenix,ABL,MLB,01/20/1999,25,MEX,5' 11',195 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,1,Travis Wilhelm,,Chicago,ABL,MLB,03/11/1989,35,USA,6' 2',215 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
SP,23,Milt Young,,Puebla,ABL,MLB,07/30/1994,29,USA,6' 5',220 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,9,Carlos Zabala,,Nezahualcoyotl,ABL,MLB,09/04/1997,26,USA,6' 2',200 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
SP,26,Victor Zelaya,,Austin,ABL,MLB,02/02/2000,24,MEX,6' 3',210 lbs,Left,Right,2.0 Stars,2.5 Stars,Very Low
SP,27,Chris Zimmerman,,Calgary,ABL,MLB,05/04/2000,23,USA,6' 7',235 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
RP,9,Jose Acevedo,,Acapulco,ABL,MLB,03/01/1997,27,MEX,6' 2',210 lbs,Left,Left,2.5 Stars,2.5 Stars,Very Low
RP,23,Alberto Aguilar,,Mississauga,ABL,MLB,04/03/1999,25,MEX,5' 11',190 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
RP,24,Mark Alexander,,St. Johns,ABL,MLB,03/13/1995,29,USA,6' 2',215 lbs,Right,Right,3.0 Stars,3.0 Stars,Average
RP,17,Ivan Alvarado,,Windsor,ABL,MLB,04/08/1998,26,MEX,6' 4',215 lbs,Left,Right,2.0 Stars,2.0 Stars,Low
RP,5,Juan Alvarez,,Mérida,ABL,MLB,07/11/1994,29,MEX,6' 4',215 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
RP,21,Sam Amaral,,Austin,ABL,MLB,10/24/1998,25,USA,6' 4',215 lbs,Left,Right,2.0 Stars,2.0 Stars,Very Low
RP,18,Joe Anderson,,Naucalpan,ABL,MLB,07/22/1997,26,USA,6' 2',205 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
RP,28,Shane Armstrong,,Puebla,ABL,MLB,03/12/1997,27,USA,6' 1',205 lbs,Left,Left,2.5 Stars,2.5 Stars,Average
RP,6,Walt Atley,,San Luis Potosí,ABL,MLB,10/07/1995,28,CAN,6' 0',200 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
